,Group1,Group2,Value
233,Prepare new project/proposal,Basis for new study,0.31
234,Prepare new project/proposal,Calibration,0.16
235,Prepare new project/proposal,Benchmarking,0.12
236,Prepare new project/proposal,Verification,0.21
237,Prepare new project/proposal,Input,0.04
238,Prepare new project/proposal,Generating new ideas,0.16
239,Prepare new project/proposal,Teaching,0.25
240,Prepare new project/proposal,Prepare new project/proposal,1.0
241,Prepare new project/proposal,Experimental Use,0.09
242,Prepare new project/proposal,Identifying trends/predictions,0.22
243,Prepare new project/proposal,Comparison,0.23
244,Prepare new project/proposal,Summarizations,0.1
245,Prepare new project/proposal,Integrate with other data,0.33
246,Prepare new project/proposal,Other Uses,
247,Experimental Use,Observational/Empirical (Type),0.07
248,Experimental Use,Experimental (Type),0.29
249,Experimental Use,Simulation (Type),0.3
250,Experimental Use,Derived/Compiled (Type),0.01
251,Experimental Use,Other Types,0.12
252,Experimental Use,Basis for new study,0.28
253,Experimental Use,Calibration,0.21
254,Experimental Use,Benchmarking,0.21
255,Experimental Use,Verification,0.24
256,Experimental Use,Input,0.04
257,Experimental Use,Generating new ideas,0.04
258,Experimental Use,Teaching,0.15
259,Experimental Use,Prepare new project/proposal,0.09
260,Experimental Use,Experimental Use,1.0
261,Experimental Use,Identifying trends/predictions,0.08
262,Experimental Use,Comparison,0.25
263,Experimental Use,Summarizations,0.17
264,Experimental Use,Integrate with other data,0.15
265,Experimental Use,Other Uses,
266,Identifying trends/predictions,Observational/Empirical (Type),0.01
267,Identifying trends/predictions,Experimental (Type),0.07
268,Identifying trends/predictions,Simulation (Type),0.16
269,Identifying trends/predictions,Derived/Compiled (Type),0.18
270,Identifying trends/predictions,Other Types,0.14
271,Identifying trends/predictions,Basis for new study,0.04
272,Identifying trends/predictions,Calibration,0.12
273,Identifying trends/predictions,Benchmarking,0.08
274,Identifying trends/predictions,Verification,0.01
275,Identifying trends/predictions,Input,0.11
276,Identifying trends/predictions,Generating new ideas,0.11
277,Identifying trends/predictions,Teaching,0.15
278,Identifying trends/predictions,Prepare new project/proposal,0.22
279,Identifying trends/predictions,Experimental Use,0.08
280,Identifying trends/predictions,Identifying trends/predictions,1.0
281,Identifying trends/predictions,Comparison,0.09
282,Identifying trends/predictions,Summarizations,0.04
283,Identifying trends/predictions,Integrate with other data,0.23
284,Identifying trends/predictions,Other Uses,
285,Comparison,Observational/Empirical (Type),0.13
286,Comparison,Experimental (Type),0.08
287,Comparison,Simulation (Type),0.06
288,Comparison,Derived/Compiled (Type),0.34
289,Comparison,Other Types,0.1
290,Comparison,Basis for new study,0.31
291,Comparison,Calibration,0.16
292,Comparison,Benchmarking,0.17
293,Comparison,Verification,0.05
294,Comparison,Input,0.05
295,Comparison,Generating new ideas,0.15
296,Comparison,Teaching,0.28
297,Comparison,Prepare new project/proposal,0.23
298,Comparison,Experimental Use,0.25
299,Comparison,Identifying trends/predictions,0.09
300,Comparison,Comparison,1.0
301,Comparison,Summarizations,0.11
302,Comparison,Integrate with other data,0.26
303,Comparison,Other Uses,
304,Summarizations,Observational/Empirical (Type),0.7
305,Summarizations,Experimental (Type),0.24
306,Summarizations,Simulation (Type),0.0
307,Summarizations,Derived/Compiled (Type),0.14
308,Summarizations,Other Types,0.13
309,Summarizations,Basis for new study,0.2
310,Summarizations,Calibration,0.16
311,Summarizations,Benchmarking,0.06
312,Summarizations,Verification,0.33
313,Summarizations,Input,0.02
314,Summarizations,Generating new ideas,0.21
315,Summarizations,Teaching,0.33
316,Summarizations,Prepare new project/proposal,0.1
317,Summarizations,Experimental Use,0.17
318,Summarizations,Identifying trends/predictions,0.04
319,Summarizations,Comparison,0.11
320,Summarizations,Summarizations,1.0
321,Summarizations,Integrate with other data,0.21
322,Summarizations,Other Uses,
323,Integrate with other data,Observational/Empirical (Type),0.04
324,Integrate with other data,Experimental (Type),0.23
325,Integrate with other data,Simulation (Type),0.2
326,Integrate with other data,Derived/Compiled (Type),0.44
327,Integrate with other data,Other Types,0.22
328,Integrate with other data,Basis for new study,0.21
329,Integrate with other data,Calibration,0.06
330,Integrate with other data,Benchmarking,0.3
331,Integrate with other data,Verification,0.1
332,Integrate with other data,Input,0.09
333,Integrate with other data,Generating new ideas,0.09
334,Integrate with other data,Teaching,0.08
335,Integrate with other data,Prepare new project/proposal,0.33
336,Integrate with other data,Experimental Use,0.15
337,Integrate with other data,Identifying trends/predictions,0.23
338,Integrate with other data,Comparison,0.26
339,Integrate with other data,Summarizations,0.21
340,Integrate with other data,Integrate with other data,1.0
341,Integrate with other data,Other Uses,
342,Other Uses,Observational/Empirical (Type),
343,Other Uses,Experimental (Type),
344,Other Uses,Simulation (Type),
345,Other Uses,Derived/Compiled (Type),
346,Other Uses,Other Types,
347,Other Uses,Basis for new study,
348,Other Uses,Calibration,
349,Other Uses,Benchmarking,
350,Other Uses,Verification,
351,Other Uses,Input,
352,Other Uses,Generating new ideas,
353,Other Uses,Teaching,
354,Other Uses,Prepare new project/proposal,
355,Other Uses,Experimental Use,
356,Other Uses,Identifying trends/predictions,
357,Other Uses,Comparison,
358,Other Uses,Summarizations,
359,Other Uses,Integrate with other data,
360,Other Uses,Other Uses,
